run_idx,combination_idx,repeat_idx,status,runtime,cte_bench_timed.io_size,cte_bench_timed.num_threads,cte_bench_timed.test_case,cte_bench_timed.get.agg_bw_mbps,cte_bench_timed.get.agg_ops_per_sec,cte_bench_timed.get.avg_latency_per_op_us,cte_bench_timed.get.bw_per_thread_avg_mbps,cte_bench_timed.get.bw_per_thread_max_mbps,cte_bench_timed.get.bw_per_thread_min_mbps,cte_bench_timed.get.latency_stddev_us,cte_bench_timed.get.ops_per_thread_avg_per_sec,cte_bench_timed.get.time_avg_us,cte_bench_timed.get.time_max_us,cte_bench_timed.get.time_min_us,cte_bench_timed.get.total_data_mb,cte_bench_timed.get.total_ops,cte_bench_timed.put.agg_bw_mbps,cte_bench_timed.put.agg_ops_per_sec,cte_bench_timed.put.avg_latency_per_op_us,cte_bench_timed.put.bw_per_thread_avg_mbps,cte_bench_timed.put.bw_per_thread_max_mbps,cte_bench_timed.put.bw_per_thread_min_mbps,cte_bench_timed.put.latency_stddev_us,cte_bench_timed.put.ops_per_thread_avg_per_sec,cte_bench_timed.put.time_avg_us,cte_bench_timed.put.time_max_us,cte_bench_timed.put.time_min_us,cte_bench_timed.put.total_data_mb,cte_bench_timed.put.total_ops,cte_bench_timed.putget.agg_bw_mbps,cte_bench_timed.putget.agg_ops_per_sec,cte_bench_timed.putget.avg_latency_per_op_us,cte_bench_timed.putget.bw_per_thread_avg_mbps,cte_bench_timed.putget.bw_per_thread_max_mbps,cte_bench_timed.putget.bw_per_thread_min_mbps,cte_bench_timed.putget.latency_stddev_us,cte_bench_timed.putget.ops_per_thread_avg_per_sec,cte_bench_timed.putget.time_avg_us,cte_bench_timed.putget.time_max_us,cte_bench_timed.putget.time_min_us,cte_bench_timed.putget.total_data_mb,cte_bench_timed.putget.total_ops,error
89,29,2,success,58.407379388809204,1m,4,Get,916.486,916.486,4364.5,229.121,221.812,234.914,942295.0,229.121,45102700.0,46588978.0,43990474.0,41336.0,41336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,30,0,success,35.256282806396484,4k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49185,893.913,1118.68,3.49185,3.49185,3.49185,0.0,893.913,30002900.0,30002907.0,30002907.0,104.766,26820.0,
91,30,1,success,35.75540256500244,4k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81967,977.836,1022.67,3.81967,3.81967,3.81967,0.0,977.836,30000900.0,30000947.0,30000947.0,114.594,29336.0,
92,30,2,success,35.380343198776245,4k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78872,969.912,1031.02,3.78872,3.78872,3.78872,0.0,969.912,30002700.0,30002733.0,30002733.0,113.672,29100.0,
93,31,0,success,35.29360771179199,4k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44655,1394.32,1434.39,2.72327,2.72325,2.72329,229.0,697.158,30001800.0,30002030.0,30001572.0,163.406,41832.0,
94,31,1,success,35.31309223175049,4k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16381,1321.94,1512.93,2.5819,2.5819,2.5819,1.0,660.968,30004500.0,30004499.0,30004497.0,154.938,39664.0,
95,31,2,success,35.26470184326172,4k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55247,1421.43,1407.03,2.77623,2.77618,2.77629,628.5,710.716,30000700.0,30001362.0,30000105.0,166.578,42644.0,
96,32,0,success,35.27409815788269,4k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32953,1620.36,2468.59,1.58238,1.58233,1.58241,608.463,405.09,30000700.0,30001738.0,30000247.0,189.891,48612.0,
97,32,1,success,35.28961706161499,4k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26904,1604.87,2492.41,1.56726,1.56723,1.56733,805.037,401.219,30006100.0,30006573.0,30004689.0,188.109,48156.0,
98,32,2,success,35.265716791152954,4k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,6.41344,1641.84,2436.29,1.60336,1.60331,1.60338,589.725,410.46,30000500.0,30001477.0,30000098.0,192.406,49256.0,
99,33,0,success,35.269163846969604,16k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8455,886.115,1128.52,13.8455,13.8455,13.8455,0.0,886.115,30000600.0,30000634.0,30000634.0,415.375,26584.0,
100,33,1,success,36.47277212142944,16k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6614,1002.33,997.675,15.6614,15.6614,15.6614,0.0,1002.33,30002100.0,30002070.0,30002070.0,469.875,30072.0,
101,33,2,success,35.27561068534851,16k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,13.813,884.032,1131.18,13.813,13.813,13.813,0.0,884.032,30003400.0,30003443.0,30003443.0,414.438,26524.0,
102,34,0,success,35.258800983428955,16k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8676,1271.53,1572.91,9.93379,9.93379,9.9338,25.5,635.763,30001800.0,30001779.0,30001728.0,596.062,38148.0,
103,34,1,success,35.27675533294678,16k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1827,1291.69,1548.35,10.0914,10.0913,10.0914,235.5,645.847,30004000.0,30004224.0,30003753.0,605.562,38756.0,
104,34,2,success,35.26766920089722,16k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2866,1298.34,1540.43,10.1433,10.1433,10.1433,19.5,649.17,30004500.0,30004488.0,30004449.0,608.688,38956.0,
105,35,0,success,35.27141451835632,16k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1024,1606.55,2489.8,6.2756,6.27545,6.27576,680.785,401.639,30004600.0,30005296.0,30003824.0,753.188,48204.0,
106,35,1,success,35.259028673172,16k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,24.241,1551.42,2578.28,6.06024,6.06008,6.0604,770.85,387.855,30000900.0,30001654.0,30000091.0,727.25,46544.0,
107,35,2,success,35.28321170806885,16k,4,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4411,1564.23,2557.16,6.11029,6.11022,6.11036,322.241,391.058,30003200.0,30003543.0,30002820.0,733.312,46932.0,
108,36,0,success,35.25941014289856,64k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5422,488.675,2046.35,30.5422,30.5422,30.5422,0.0,488.675,30007700.0,30007659.0,30007659.0,916.5,14664.0,
109,36,1,success,35.27123212814331,64k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5832,489.331,2043.61,30.5832,30.5832,30.5832,0.0,489.331,30000100.0,30000148.0,30000148.0,917.5,14680.0,
110,36,2,success,35.276691198349,64k,1,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,30.9223,494.757,2021.2,30.9223,30.9223,30.9223,0.0,494.757,30002600.0,30002622.0,30002622.0,927.75,14844.0,
111,37,0,failed,,64k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pipeline startup failed at package 'cte_bench_timed': Benchmark exited with non-zero code(s): {'localhost': 139}
112,37,1,success,34.242318868637085,64k,2,PutGet,,,,,,,,,,,,,,,,,,,,,,,,,,,66.653,1066.45,1875.38,33.3265,33.326,33.327,425.5,533.224,30002400.0,30002812.0,30001961.0,1999.75,31996.0,
